program, -1, -1, 1
prog?, -55, -2, 1
;, -75, -1, 1
var, -15, -1, 2
int, -11, -1, 3
:, -77, -1, 3
uno&, -51, -2, 3
,, -76, -1, 3
dos&, -51, -2, 3
,, -76, -1, 3
tres%, -52, -2, 3
;, -75, -1, 3
real, -12, -1, 4
:, -77, -1, 4
tres%, -52, -2, 4
,, -76, -1, 4
cuatro%, -52, -2, 4
;, -75, -1, 4
string, -13, -1, 5
:, -77, -1, 5
cuatro#, -53, -2, 5
;, -75, -1, 5
bool, -14, -1, 6
:, -77, -1, 6
cinco$, -54, -2, 6
;, -75, -1, 6
begin, -2, -1, 8
uno&, -51, -2, 10
:=, -26, -1, 10
10.3, -62, -1, 10
+, -24, -1, 10
(, -73, -1, 10
39, -61, -1, 10
*, -21, -1, 10
dos&, -51, -2, 10
), -74, -1, 10
;, -75, -1, 10
cinco$, -54, -2, 11
:=, -26, -1, 11
(, -73, -1, 11
uno&, -51, -2, 11
<=, -32, -1, 11
10, -61, -1, 11
), -74, -1, 11
;, -75, -1, 11
if, -6, -1, 13
(, -73, -1, 13
uno&, -51, -2, 13
==, -35, -1, 13
10, -61, -1, 13
), -74, -1, 13
then, -16, -1, 13
begin, -2, -1, 14
write, -5, -1, 15
(, -73, -1, 15
dos&, -51, -2, 15
), -74, -1, 15
;, -75, -1, 15
end, -3, -1, 16
if, -6, -1, 18
(, -73, -1, 18
dos&, -51, -2, 18
>=, -34, -1, 18
tres%, -52, -2, 18
), -74, -1, 18
then, -16, -1, 18
begin, -2, -1, 19
dos&, -51, -2, 20
:=, -26, -1, 20
true, -64, -1, 20
;, -75, -1, 20
end, -3, -1, 21
else, -7, -1, 22
begin, -2, -1, 23
write, -5, -1, 24
(, -73, -1, 24
dos&, -51, -2, 24
), -74, -1, 24
;, -75, -1, 24
cinco$, -54, -2, 25
:=, -26, -1, 25
(, -73, -1, 25
10, -61, -1, 25
*, -21, -1, 25
(, -73, -1, 25
89, -61, -1, 25
-, -25, -1, 25
100, -61, -1, 25
), -74, -1, 25
), -74, -1, 25
>=, -34, -1, 25
(, -73, -1, 25
dos&, -51, -2, 25
), -74, -1, 25
;, -75, -1, 25
end, -3, -1, 26
dos&, -51, -2, 28
:=, -26, -1, 28
1, -61, -1, 28
;, -75, -1, 28
while, -8, -1, 30
(, -73, -1, 30
dos&, -51, -2, 30
>, -33, -1, 30
5, -61, -1, 30
), -74, -1, 30
do, -17, -1, 30
begin, -2, -1, 31
dos&, -51, -2, 32
:=, -26, -1, 32
dos&, -51, -2, 32
+, -24, -1, 32
1, -61, -1, 32
;, -75, -1, 32
end, -3, -1, 33
write, -5, -1, 35
(, -73, -1, 35
dos&, -51, -2, 35
), -74, -1, 35
;, -75, -1, 35
cinco$, -54, -2, 35
:=, -26, -1, 35
false, -65, -1, 35
;, -75, -1, 35
repeat, -9, -1, 37
begin, -2, -1, 38
dos&, -51, -2, 39
:=, -26, -1, 39
dos&, -51, -2, 39
+, -24, -1, 39
2, -61, -1, 39
;, -75, -1, 39
write, -5, -1, 40
(, -73, -1, 40
dos&, -51, -2, 40
), -74, -1, 40
;, -75, -1, 40
read, -4, -1, 41
(, -73, -1, 41
tres%, -52, -2, 41
), -74, -1, 41
;, -75, -1, 41
end, -3, -1, 42
until, -10, -1, 43
(, -73, -1, 43
cinco&, -51, -2, 43
==, -35, -1, 43
true, -64, -1, 43
), -74, -1, 43
;, -75, -1, 43
write, -5, -1, 45
(, -73, -1, 45
dos&, -51, -2, 45
), -74, -1, 45
;, -75, -1, 45
end, -3, -1, 46
