program, -1, -1, 1
grados?, -55, -2, 1
;, -75, -1, 1
var, -15, -1, 2
real, -12, -1, 3
:, -77, -1, 3
gradosCen%, -52, -2, 3
,, -76, -1, 3
gradosFar%, -52, -2, 3
;, -75, -1, 3
begin, -2, -1, 5
gradosCen%, -52, -2, 7
:=, -26, -1, 7
13.3, -62, -1, 7
;, -75, -1, 7
gradosFar%, -52, -2, 8
:=, -26, -1, 8
(, -73, -1, 8
gradosCen%, -52, -2, 8
*, -21, -1, 8
1.8, -62, -1, 8
), -74, -1, 8
+, -24, -1, 8
32.8, -62, -1, 8
;, -75, -1, 8
write, -5, -1, 9
(, -73, -1, 9
gradosFar%, -52, -2, 9
), -74, -1, 9
;, -75, -1, 9
while, -8, -1, 11
(, -73, -1, 11
gradosCen%, -52, -2, 11
>, -33, -1, 11
5.5, -62, -1, 11
), -74, -1, 11
do, -17, -1, 11
begin, -2, -1, 12
gradosFar%, -52, -2, 13
:=, -26, -1, 13
gradosCen%, -52, -2, 13
+, -24, -1, 13
1.0, -62, -1, 13
;, -75, -1, 13
end, -3, -1, 14
end, -3, -1, 16
