program, -1, -1, 1
esPrimo?, -55, -2, 1
;, -75, -1, 1
var, -15, -1, 2
int, -11, -1, 3
:, -77, -1, 3
numero&, -51, 0, 3
;, -75, -1, 3
bool, -14, -1, 4
:, -77, -1, 4
primo$, -54, 1, 4
;, -75, -1, 4
int, -11, -1, 5
:, -77, -1, 5
i&, -51, 2, 5
;, -75, -1, 5
int, -11, -1, 6
:, -77, -1, 6
num&, -51, 3, 6
;, -75, -1, 6
begin, -2, -1, 9
numero&, -51, 0, 11
:=, -26, -1, 11
5, -61, -1, 11
;, -75, -1, 11
primo$, -54, 1, 12
:=, -26, -1, 12
true, -64, -1, 12
;, -75, -1, 12
num&, -51, 3, 13
:=, -26, -1, 13
numero&, -51, 0, 13
-, -25, -1, 13
1, -61, -1, 13
;, -75, -1, 13
repeat, -9, -1, 15
begin, -2, -1, 16
i&, -51, 2, 17
:=, -26, -1, 17
2, -61, -1, 17
;, -75, -1, 17
if, -6, -1, 18
(, -73, -1, 18
numero&, -51, 0, 18
%%, -27, -1, 18
i&, -51, 2, 18
==, -35, -1, 18
0, -61, -1, 18
), -74, -1, 18
then, -16, -1, 18
begin, -2, -1, 19
primo$, -54, 1, 20
:=, -26, -1, 20
false, -65, -1, 20
;, -75, -1, 20
end, -3, -1, 21
end, -3, -1, 22
until, -10, -1, 23
(, -73, -1, 23
i&, -51, 2, 23
==, -35, -1, 23
num&, -51, 3, 23
), -74, -1, 23
;, -75, -1, 23
if, -6, -1, 25
(, -73, -1, 25
primo$, -54, 1, 25
==, -35, -1, 25
true, -64, -1, 25
), -74, -1, 25
then, -16, -1, 25
begin, -2, -1, 26
write, -5, -1, 27
(, -73, -1, 27
"Esprimo", -63, -1, 27
), -74, -1, 27
;, -75, -1, 27
end, -3, -1, 28
else, -7, -1, 29
begin, -2, -1, 30
write, -5, -1, 31
(, -73, -1, 31
"Noesprimo", -63, -1, 31
), -74, -1, 31
;, -75, -1, 31
end, -3, -1, 32
end, -3, -1, 34
